"","LAT","LON","SPEED","ship_type","SHIPNAME","DATETIME","SHIP_ID","datefull","distance","LON_fut","LAT_fut","avg_distance","number"
"221",57.68652,11.87643,100,"Passenger","CARL MICHAEL BELLMAN","2016-12-19T12:55:04Z",323289,2016-12-19 12:55:04,3199.71908236263,11.9236,57.70021,87.0148885387737,2497
"222",57.89535,12.03937,95,"Cargo","CAROLINA","2016-12-20T08:35:16Z",257347,2016-12-20 08:35:16,6618.16307677676,12.08942,57.94847,221.653497764924,274
"223",54.45473,18.44323,0,"Pleasure","CARUZZI","2016-12-13T12:17:07Z",4702404,2016-12-13 12:17:07,686.147865860277,18.43688,54.4498,0.539343648486681,1295
"224",54.53396,18.55884,41,"Cargo","CATHARINA SCHULTE","2016-12-16T12:55:07Z",150705,2016-12-16 12:55:07,816.972440878662,18.56057,54.52669,1.26526678803263,4720
"225",57.67101,11.84939,0,"Pleasure","CELESTE OF SOLENT","2016-12-15T00:15:08Z",190564,2016-12-15 00:15:08,8.95898717401581,11.84949,57.67095,0.598197039085391,8937
"226",55.65001,21.15734,20,"Cargo","CEMISLE","2016-12-14T01:05:06Z",364500,2016-12-14 01:05:06,406.562563768816,21.16266,55.64794,1.140388186164,556
"227",55.81088,20.8829,107,"Cargo","CEMSOL","2016-12-18T15:33:07Z",145002,2016-12-18 15:33:07,1673.24898743905,20.86578,55.82241,36.0043766465621,1678
"228",54.5355,18.56733,63,"Tug","CENTAUR II","2016-12-16T01:43:07Z",316174,2016-12-16 01:43:07,2117.64425834831,18.59983,54.53333,102.864195423827,1756
"229",54.79719,18.42195,28,"Pleasure","CHA-10","2016-12-16T12:45:08Z",316153,2016-12-16 12:45:08,11110.7594314089,18.59412,54.78913,50.7327342949434,1537
"230",57.7788,11.69685,0,"Tug","CHARLIE","2016-12-13T14:49:06Z",3792435,2016-12-13 14:49:06,890.155767325319,11.70526,57.77219,8.99757927770617,6925
"231",59.91285,30.04415,131,"Cargo","CHARLOTTA B","2016-12-20T04:35:03Z",758887,2016-12-20 04:35:03,1746.96422106455,30.07293,59.90677,42.2321360236732,322
"232",59.90694,30.07371,87,"Cargo","CHAROITE","2016-12-20T08:55:04Z",3382564,2016-12-20 08:55:04,1214.91900250259,30.05359,59.91104,10.5013367191952,3941
"233",57.69859,11.7873,1,"Pleasure","CHESS ARCONA400","2016-12-17T23:45:05Z",321697,2016-12-17 23:45:05,24.8549027899885,11.78723,57.69837,1.72693655690508,4728
"234",54.79703,18.43237,70,"Fishing","CHRISTINA MICHELLE","2016-12-13T23:11:07Z",154872,2016-12-13 23:11:07,735.851190146062,18.42093,54.79712,11.6738396871536,301
"235",59.89513,30.1313,76,"Cargo","CHRISTOPHER","2016-12-15T10:07:04Z",364743,2016-12-15 10:07:04,985.0162148761,30.11499,59.89845,16.8654898861696,1464
"236",57.61467,11.66392,134,"Cargo","CITY OF ROME","2016-12-15T04:27:05Z",183675,2016-12-15 04:27:05,1647.701648819,11.68129,57.62616,48.2036802836787,824
"237",59.90517,30.08229,111,"Cargo","CITY OF ROTTERDAM","2016-12-13T21:35:05Z",461962,2016-12-13 21:35:05,1517.45167834927,30.05716,59.91029,33.9774813939458,617
"238",57.96892,11.72741,110,"Tanker","CLIPPER HARALD","2016-12-20T03:03:04Z",306293,2016-12-20 03:03:04,1467.6139747126,11.74401,57.97871,671.393448681709,20
"239",57.92417,11.6562,102,"Tanker","CLIPPER JUPITER","2016-12-17T16:53:05Z",3362218,2016-12-17 16:53:05,1486.42366175773,11.63741,57.91533,599.452451118948,47
"240",57.605,11.61267,113,"Fishing","CLIPPERTON","2016-12-14T16:25:05Z",327566,2016-12-14 16:25:05,779.791967387967,11.62517,57.603,610.098185357652,4
"241",57.60124,11.79403,11,"Fishing","CLIPPFJORD","2016-12-19T07:31:05Z",327673,2016-12-19 07:31:05,225.408011076262,11.7906,57.6004,0.82061052410453,4565
"242",59.9152,30.03259,114,"Cargo","CONMAR AVENUE","2016-12-15T01:13:04Z",366725,2016-12-15 01:13:04,1124.96660558963,30.05126,59.91145,25.798616500125,1181
"243",55.69683,21.12467,74,"Cargo","CONTAINERSHIPS 6","2016-12-13T18:11:07Z",132925,2016-12-13 18:11:07,2057.547929552,21.1375,55.67983,117.029929798885,279
"244",55.77592,20.91944,172,"Cargo","CONTAINERSHIPS VII","2016-12-18T05:49:05Z",858053,2016-12-18 05:49:05,2452.25069817909,20.94193,55.75791,191.13617827988,338
"245",57.92383,11.62883,116,"Tanker","COPENHAGEN","2016-12-15T19:19:05Z",159706,2016-12-15 19:19:05,1502.7985122718,11.6538,57.92619,685.01727043414,39
"246",57.98905,11.7486,106,"Tanker","CORAL LACERA","2016-12-17T09:35:05Z",756074,2016-12-17 09:35:05,1350.39203017658,11.73668,57.97871,673.00761628757,38
"247",57.92804,11.66216,103,"Tanker","CORAL MEANDRA","2016-12-19T13:47:05Z",263683,2016-12-19 13:47:05,1368.24524146367,11.68014,57.93575,621.46851119364,20
"248",57.93739,11.68278,100,"Tanker","CORAL STICHO","2016-12-18T23:23:05Z",251928,2016-12-18 23:23:05,1246.89385879567,11.66798,57.92943,641.677218864661,42
"249",59.91166,30.05059,108,"Tanker","CPO GERMANY","2016-12-15T09:59:04Z",192887,2016-12-15 09:59:04,1273.53067334881,30.02949,59.91595,7.28751405759903,2339
"250",54.37539,18.65903,0,"Tug","CRESTWAY","2016-12-14T19:59:02Z",126010,2016-12-14 19:59:02,3.40200222065249,18.65902,54.37536,0.164939370387981,4771
"251",57.67721,11.65609,82,"Tug","CRUM","2016-12-14T11:03:06Z",323064,2016-12-14 11:03:06,664.199848131764,11.64534,57.67876,2.45559525038513,4725
"252",57.74995,11.65436,1,"Pleasure","DAISY","2016-12-14T00:41:05Z",4561378,2016-12-14 00:41:05,13.3780456126199,11.65435,57.74983,1.49423999013968,4727
"253",57.74813,11.61588,94,"Tanker","DANA","2016-12-15T05:23:06Z",327198,2016-12-15 05:23:06,19180.6611044799,11.60685,57.92028,57.7673507767941,4799
"254",57.67349,11.66452,0,"Fishing","DANAFJORD","2016-12-17T07:33:05Z",326456,2016-12-17 07:33:05,131.874959035146,11.66486,57.67466,1.74231028905061,2984
"255",59.91788,30.01961,108,"Cargo","DANUBE HIGHWAY","2016-12-15T17:27:05Z",369206,2016-12-15 17:27:05,1027.65208875752,30.00262,59.92139,40.4440222999092,915
"256",57.65377,11.72674,99,"Cargo","DANUBIA","2016-12-20T09:11:05Z",312793,2016-12-20 09:11:05,5875.11693709004,11.66631,57.61215,269.964054345653,449
"257",54.79816,18.81418,26,"Fishing","DAR-10","2016-12-13T16:47:02Z",3061267,2016-12-13 16:47:02,23819.2509426991,18.44383,54.79982,135.669484949444,361
"258",54.51921,18.55857,0,"Pleasure","DAR MLODZIEZY","2016-12-13T17:35:06Z",316664,2016-12-13 17:35:06,11.2997183180713,18.5586,54.51931,0.673767898063681,4720
"259",55.62143,20.80016,86,"Fishing","DARIUS","2016-12-15T10:43:07Z",353278,2016-12-15 10:43:07,28165.9863151084,20.80899,55.87436,224.596464713467,464
"260",55.74908,20.8235,106,"Tanker","DAVINO D","2016-12-19T13:17:06Z",369217,2016-12-19 13:17:06,1235.04591055011,20.8424,55.75215,21.9580184046238,606
"261",54.79695,18.79787,104,"Tug","DC OSTEND","2016-12-15T06:07:08Z",184318,2016-12-15 06:07:08,2204.08633232403,18.7637,54.79846,217.235000150676,2285
"262",57.77199,11.61844,41,"Tanker","DELFIN","2016-12-20T09:37:05Z",3424242,2016-12-20 09:37:05,2386.04767715414,11.64452,57.75572,4.65118331767424,4679
"263",59.91929,30.01159,113,"Cargo","DELPHIS BOTHNIA","2016-12-16T09:29:04Z",4133526,2016-12-16 09:29:04,847009.238786303,19.80285,54.67177,208.305569645585,4240
"264",54.68847,20.19122,35,"Tanker","DEYMA","2016-12-17T17:37:03Z",347645,2016-12-17 17:37:03,2731.50345456543,20.23329,54.68563,165.527688836514,308
"265",57.68612,11.86356,51,"Passenger","DIANA","2016-12-15T19:09:07Z",322150,2016-12-15 19:09:07,791.654805388194,11.8504,57.6852,55.7143160019785,843
"266",55.72404,21.02729,131,"Cargo","DIJKSGRACHT","2016-12-18T13:11:05Z",263649,2016-12-18 13:11:05,1652.32008758987,21.00316,55.72994,12.3079032053081,3213
"267",54.68567,20.22827,67,"Cargo","DINTELBORG","2016-12-15T21:31:03Z",258858,2016-12-15 21:31:03,3600.33086634154,20.17245,54.68526,41.0097770992858,1541
"268",57.70601,11.66452,74,"Tug","DIRTY","2016-12-15T13:39:06Z",323975,2016-12-15 13:39:06,12088.185986766,11.86126,57.6799,4.61118469562023,2683
"269",59.8701,30.21156,0,"Tanker","DMITRIY RULEVSKIY","2016-12-14T02:29:04Z",349912,2016-12-14 02:29:04,4711.55597596079,30.22765,59.91161,7.10194438678262,9480
"270",59.91247,30.23853,0,"Tug","DMITRY SIROTKIN","2016-12-14T02:29:04Z",348645,2016-12-14 02:29:04,12979.3335866716,30.00703,59.92026,11.2253609580428,8779
"271",59.89533,30.21363,57,"Tanker","DON","2016-12-17T13:41:04Z",350589,2016-12-17 13:41:04,561.218625322662,30.20775,59.89125,3.62205060848905,9476
"272",54.74545,18.9621,100,"Cargo","DONGEBORG","2016-12-14T11:05:01Z",260071,2016-12-14 11:05:01,1367.81586666126,18.95905,54.73329,13.9345355592116,5276
"273",54.6854,18.9296,90,"Cargo","DORNUM","2016-12-15T17:39:01Z",359396,2016-12-15 17:39:01,1222.91076724181,18.91599,54.69305,43.6500935484934,1473
"274",57.75201,11.65924,75,"Passenger","DROTT AF DYRON","2016-12-16T09:05:05Z",4158211,2016-12-16 09:05:05,910.822608465917,11.66121,57.7439,47.5720049071779,679
"275",57.62032,11.80844,345,"Cargo","DT BROSON","2016-12-15T08:05:09Z",4003835,2016-12-15 08:05:09,11714.7856801067,11.61614,57.60002,111.606140203388,1007
"276",57.62814,11.81317,335,"Pleasure","DT SUPPLY","2016-12-14T13:31:05Z",4512547,2016-12-14 13:31:05,3229.95604165289,11.79117,57.60165,529.311015393496,69
"277",55.04501,20.0843,42,"Tug","DUKE 2","2016-12-18T01:49:02Z",123296,2016-12-18 01:49:02,10622.2234601643,20.24331,55.0174,96.9102677302711,1348
"278",59.85643,30.49599,0,"Passenger","DUNAEVSKIY","2016-12-19T11:17:04Z",348318,2016-12-19 11:17:04,5.60415951109148,30.49589,59.85643,0.242202578956397,4734
